12th Fail,2023,2h 27m,147,"https://m.media-amazon.com/images/M/MV5BNDY5YWMzOWEtNTVhZi00NTdmLWIxNGItN2Q5ZmIxNGRkZDYyXkEyXkFqcGdeQXVyMTYzMTU3Njgx._V1_QL75_UY281_CR12,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi1088210713/1434659607842-pgv4ql-1696407974003.mp4?Expires=1701138747&Signature=KdRLNPsjUSa~2ztjzmQntQLUwDEh00Juuguz3rYmMAzcKdxkaN6aiCZAStaqhUleA4pt-R2gSJOEd4gvfi6ykx41~iBa68mo3-NzvCIgyr4S~oKyppXsQI2hNwbfPLSfwiq0IIOZIX8p9w~W7rFZckCrZUzT1ml2As1ZfN6Zt5tpODOt8kzXZcy3B3ZNakZhkqb-GifFxR70opCFnjAyfd1cKc-MDqC3IwLmIkZN39tPnXnM8r4lkCOcuvC22~ZC1oSulpF0Ib7WUfBvEzFV6PzQnnSxQxGLjOWZAsCgRp2T01OYHUjapdWMlbqME36qkLRVJpszwhKK2JerNtDzow__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Biography, Drama",9.2,7800,India,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak","Vikrant Massey, Medha Shankar, Joshi Anantvijay, Anshuman Pushkar, Harish Khanna, Geeta Agrawal Sharma, Priyanshu Chatterjee, Sarita Joshi, Sanjay Bishnoi, Perry Chhabra, Triaksh Chhabra, Darius Chinoy, Vijay Kumar Dogra, Fasi Khan, Sam Mohan, Rahul Dev Shetty, Suraj Naagar, Abhishek Sengupta",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,,121901
Salman Society,2023,,,"https://m.media-amazon.com/images/M/MV5BZDEwNzRkYjMtYmE5My00NjgzLTgwNjEtNDQzYTFiM2FkMzBmXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_QL75_UY281_CR18,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi3324299033/1434659607842-pgv4ql-1699874772156.mp4?Expires=1701138770&Signature=evXPMKFsFgrQLWnA6RfsFzFQjAlAZ76OHwyUYZ-fdM3i~Pyo617c3vRHy2yLg7eSdkRmcOxPNbZcMZFVL--mtxxR7W4cyWwI8nnLDCRcPYdfsMrcromLjQSstyZfGx3MM4huFTLq3hCQbN15dll2K~-StLWZ6HAzwDNSOq5qqVJPrRu5vyTkLGJzScIw8pjdf7LP~T5O4BdySUUZFF~dHBP2Whi5aHC95ZlJbGhQ754wskzTI5U9b~kLMb8o8DmwzoWewc58kqgVZ6dez99OyXs1UIUEjnvO-2kp9msLkHizIIpTIRwvU2ejrAfFiOmZsTxS9F5Yfk77ZGfO8NGsnA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,9.2,1500,India,Kailash Kashinath Pawar,Kailash Kashinath Pawar,"Namrata Awate Sambherao, Tejas Bane, Devaki Bhondve, Sheshpal Ganvir, Vanita Kharat, Laxman, Upendra Limaye, Pushkar Lonarkar, Gaurav More, Shubham More, Vinayak Poddar, Sunil Smarty",,,
Farrey,2023,2h 10m,130,"https://m.media-amazon.com/images/M/MV5BYTY1N2UzYzMtZTI5MC00MjFkLWE2NGYtZmIxODI3MDIzYWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR18,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi876267289/1434659607842-pgv4ql-1699074784755.mp4?Expires=1701138789&Signature=SciYyQDH5-7EkNRDJB5qlhORqDSNw~6MIcMT98gXNRdvivntexXz3BGZugecZFd~9cmO7J5uq8EpDXtTGK-oB3r0wn5pVB2LMM5RzXF9tpDcJ9WuXNoRho05B9LQ-2Npf~~w8gtPbjgh0mH0YqqSXonOGK1B0es80yFm8WFankVZ2EkweABPTXEqlkdDQndkZ~Z-Nz689Ajqh9cjU2u6pSuTmsac86vFKMlmTdDHx9RYX9sbsQXIqREGxwMUywi2DANLSlRQQaGKRL8ucUyL9B1qZXHkcYo2kuze9aLQV65haSPsnk8oy5BYfQ2k26TwknwvUK0DIlQ96ZspAx98Nw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Drama, Thriller",8.8,2600,India,Soumendra Padhi,"Abhishek Yadav, Soumendra Padhi","Arsh Wahi, Alizeh Agnihotri, Juhi Babbar, Prasanna Bisht, Saxon Cook, Lavishka Gupta, Sahil Mehta, Mr Ishan Jack, Ronit Roy, Himanshu Sharma, Zeyn Shaw, Sabrina Chowdhury Tithi","After gaining admission into an elite school on scholarship, an orphan genius Niyati gets entangled in a cheating racket when some of her rich friends lure her into helping them cheat in exams through elaborate methods.",,
Madhi,2022,2h 19m,139,"https://m.media-amazon.com/images/M/MV5BZjRkY2VkODctOGY4NS00MTY3LThkOTMtMTk4Yzc5ODkxYmI4XkEyXkFqcGdeQXVyMTU3MjY0NDI4._V1_QL75_UY281_CR18,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi146720025/1434659607842-pgv4ql-1665895983158.mp4?Expires=1701138811&Signature=WODiDcs2OGmc~Q9JzDdr0~Jn3wWSs4eKE0s2oNvHpMDS0foB0uWVb-CE4kqlXUc7oyy5O3KPlsj7najtf7Bk3nDqugdNnzHovMFQPuADrWFblj1g2Q~BGerEYQ0kJ2affH-CkVqF5CsLkVwn76NAvYia6ol3PMCkKupUzFanxIqlgGww9F1J5WYtEUPXrwMhs~CBJAxPqFwWsflwlWelho23jcAxU6KYT6vqhA5JozfPf4m3FOZ8xo-bGEJinEO05YqNXNjv6GVLg6ZhzPxDxcSD3xiyqTJRLuLAwydOjEQqr20aprka6c6vN7ghGfnjTjssWgyucXIxYtKErUrXbw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Musical,9.2,2200,India,Naga Dhanush,Naga Dhanush,"Richa Joshi, Yogi Khatri, Sreeram Nimmala, Snehamadhuri Sharma, Vikram Veramaneni","Two lovers, Madhu and Abhi make a decision to continue their love even after her marriage with someone else.",,
Ganaa,2023,,,"https://m.media-amazon.com/images/M/MV5BMTE0NDk4NTAtY2IyZC00MmQ5LWIzMmItMmMyODg5ZGQ3YmY4XkEyXkFqcGdeQXVyMTUwNzQzNzUz._V1_QL75_UX190_CR0,2,190,281_.jpg",,Crime,9.2,2200,India,Medapati Vijay Krishna,Medapati Vijay Krishna,"Medapati Vijay Krishna, Yogisha Sukanya, Teju Anupoju, Naga Mahesh, Jabardasth Appa Rao, Anantha Prabhu, Dorababu Pediredla",,,
Aggrasena,2023,2h 1m,121,"https://m.media-amazon.com/images/M/MV5BN2NmYTQyZTAtYThjNC00MTEwLWE4ZjktYTFhNGUzNTkxMjFhXkEyXkFqcGdeQXVyMTY0NDU5MDY1._V1_QL75_UX190_CR0,2,190,281_.jpg",https://imdb-video.media-imdb.com/vi2219688985/1434659607842-pgv4ql-1686285533151.mp4?Expires=1701138841&Signature=shueNK-bO50Atz3s2BQn6kn9C2WDlT~A-3sOI0OK0WqIrGMs8-cQS6IR6IjtWzNNnbeSIeuaqwVXTtNDpg0mZslI0~EHcI1n0nhIpRfpj6GqgLV3nCynRYR7kbUqYKTi3xFmT8CFzAxTJL4J3CmZd1MVZJUiXxgEhgCwrY4uORFMhprO1L4pFcNou1wCdO0tiAdABjQ9xPRZx3tOuRbx~soGahx4fG4qud3sUy1n3pY~eYdXwcMwIwA5ByE8yHWaJ-3WtRVvcGixxme~fYaV3ZfJ3y6Jq0KOENsZXVKMxw5ZJxMZuI10YVce3o8nl3FOPv4yJdQ9eHth5v988TyoVA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,9.0,1000,India,Murugesh Kanappa,Raghu Niduvalli,"Amar Viraj, Aagasthya Balgere, Rachana Dashrath, Ramakrishna, Shivaraj K.R. Pete, Thanishka, Shashidhar Gowda, Bharati Hedge, Ugrram Manju","Adhishesha the village leader who looks parents as God.Amar Viraj,the naughty cityboy, alienates adhishesha's father from him .So he takes amar's lover away and takes revenge.The gist is whether Amar gets his girl or Adhishesha his father.",,
National Theatre Live: Prima Facie,2022,2h,120,"https://m.media-amazon.com/images/M/MV5BNDE0NDI4ZjktYjMwNy00MWI1LWFjMTItOGE2YjZkN2QzM2M3XkEyXkFqcGdeQXVyMTI5NTI0MDQw._V1_QL75_UY281_CR5,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi623755801/1434659607842-pgv4ql-1658600807030.mp4?Expires=1701138861&Signature=G~p~QqR1OAPAy6dHmIUjWO4m-FmKX-SeXa9k-Y8W~7V5c1lOAOk2fpQmxMGVdsR2lAKBB4FkV5VX3W0EixDYEgXyp9Bew~7FJ7qnIkQ7L6F3a6kDM949ODp-Avhj~OL9LbEAFROapSofTLR5tBTTckoma7hL~73O7rspgCJSVSduw60JtjSkLAHV7tld6MQwYWoi0kcjxiySOqI7y34TIQL9TA2o0r-1Bu4WxpVZNV6PMhwj0OG1Fq3xnrFSFLEFAbglpqhJIk3rSlgg6Iei3thifWWUhYXaO56O7BmqQnA1o3UVODMetxe553VpvMkYS79Ud8lB4OaKjwbNFFcWnQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,9.1,1600,United Kingdom,Justin Martin,Suzie Miller,Jodie Comer,"Tessa is a young, brilliant barrister. From working class origins, she has reached the top of her game. An unexpected event forces her to confront the lines where the patriarchal power of the law, burden of proof and morals diverge.",,6628589
Ashtadigbandhanam,2023,2h 15m,135,"https://m.media-amazon.com/images/M/MV5BYTM4Y2YzNTAtNDg2Yy00YWZhLWI3MDYtMWM3YTdmMmI1OGNkXkEyXkFqcGdeQXVyNjUxNzk5NzU@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi2682898201/1434659607842-pgv4ql-1694594795811.mp4?Expires=1701138891&Signature=CVgLli6kNptZCcEMBy7I0Ja0G9DIr0jFLNfy2dtCJuXh404X7KmHZ~XGGXw0vTp0O4tFucaohbELtNbQ0jIMpV7GdUtNIAS7i32PXi7nk781rUPCq4ev9u2sSIgV2MxF5t04VOfFKfbz4Rft~lt8UWX8~Ru2MauJfzHHnsmEYV8wET8nQ82~sfVkiZCwO0M0CyvAn8MOStR8TdxxU7IOti7RDf8F8x7SQmV0i6N3Q1f6RlST4JoWB~tcJ~kOtgnvui8m1vZOUoWQDwOwB88wEOOCJElZaVJ8HG9UOTyizM-rPuUU9HIgcvLeIMlq3cChmfggU7SH0zXjC-fkEVQWzQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Adventure, Mystery",9.1,2100,India,Baba PR,Baba PR,"Surya Bharath Chandra, Vijay Kandagatla, Vishika Kota, Naveen Kumar Gattu, Ranjith Narayan Kurup, Mani Patel, Roshni Rajak, Gagan Ravi, Mahesh Ravul, Viswender Reddy, Yogender Reddy, Vivareddy","Gautham is a software engineer, Chakri is a corrupt police officer, Shankar is a bar owner, Sri Ramulu is a politician. These four who are not related to each other meet on one occasion. After that what happened in their lives.",,
Yuzuru Hanyu Ice Story GIFT at Tokyo Dome,2023,2h 42m,162,"https://m.media-amazon.com/images/M/MV5BOGY3OWU1NDgtYTM0Yi00NWUxLWE1YTItMDI5YTFiYWU2NTc3XkEyXkFqcGdeQXVyMzgwNTk2ODA@._V1_QL75_UY281_CR4,0,190,281_.jpg",,"Documentary, Sport",9.1,1500,Japan,Mikiko,,Yuzuru Hanyu,"The first-ever solo ice show at Tokyo Dome, ""GIFT,"" is a story that self-portrays Yuzuru Hanyu's life and future on the ice.",,
THEVR10: A dokumentumfilm,2023,1h 52m,112,"https://m.media-amazon.com/images/M/MV5BZGY2NjU0YWMtNTM5NS00OTM0LTg1YzgtMjNhNzgzMmRhMjM0XkEyXkFqcGdeQXVyNDg4NDM1NzQ@._V1_QL75_UY281_CR151,0,190,281_.jpg",,Documentary,9.1,1200,Hungary,Péter Simonffy,,"Fábián István, János Komzsik",A 10 year anniversary deeply sentimental revision of TheVR.,,
